first_name,last_name,company_name,phone,email,website,google_rating,review_count,years_in_business,employee_count_estimate,city,outreach_angle,score,niche
,,Fun In The Sun Pool Service,(725) 271-2476,,,5.0,22,,unknown,Mesquite,"Angle: ** ""5.0★ on Yelp + 24-hour availability is the kind of profile most Mesquite competitors would kill for — and you have 3 photos and zero website to capitalize on it. 21-day fix: 4-page site featuring the 24/7 emergency angle + 30 customer photos + GMB listing for Mesquite/Bunkerville = double inbound calls + premium pricing on the emergency service tier.",7.5,pool
Marc,Beauparlant,Sunset Valley Pool Service LLC,(775) 513-4114,,,4.5,17,,unknown,Pahrump,"Angle: ** ""Marc, Pahrump is the lowest-competition pool search market in Nevada — and Sunset Valley Pool Service doesn't have a website to claim it. 30-day fix: sunsetvalleypools.com + 4-page local site + GMB optimization = OWN Pahrump pool service search results since the competition is basically zero. You're already the named operator in town.",7.5,pool
Michael,Cosenza,AquaMac Pool Cleaning Service LLC,(702) 978-1195,mcosenza@aquamacvegas.com,,4.7,24,4,unknown,North Las Vegas,"Angle: ** ""Michael, you have a branded email at @aquamacvegas.com but there's no live website at that domain — homeowners typing it in get a dead page. Your story (20-year Vegas local, family-owned since 2022) is the EXACT angle Vegas homeowners want. 14-day fix: launch aquamacvegas.com with the local-family-owned story + GMB optimization for NLV 89031/89084 = double monthly inbound in 60 days.",7.5,pool
,,Centennial Hills Pool Service,(702) 655-1681,,,4.7,31,2,unknown,Las Vegas,"Angle: ** ""17 years of family-owned pool service in Centennial Hills is a HUGE credibility play — and you have zero website to tell that story. Every Google search for 'pool service Centennial Hills' goes to competitors with 2 years of experience and a Squarespace site. 30-day fix: 5-page local site featuring the 17-year story + GMB optimization = own the Centennial Hills search results.",7.5,pool
,,R&M Pool Service,(702) 883-4594,,,4.6,38,,unknown,Henderson,"Angle: ** ""165 Yelp photos and 38 reviews of pool work in Anthem/Seven Hills is a goldmine — sitting on Yelp's platform where 1 algorithm change kills the phone. 21-day fix: own domain + repurpose your 165 Yelp photos as a portfolio + service pages for Anthem/Sun City Anthem/MacDonald Ranch = 3 lead sources instead of 1.",7.5,pool
,,R & S Pool Service,(702) 748-6188,,,4.6,19,,unknown,North Las Vegas,"Angle: ** ""CPO certification + 'two brothers from Ireland' is two differentiator stories most Vegas competitors would kill for — and zero website surfaces either. 30-day fix: 5-page site leading with the brothers' story + CPO cert badge + 'Why CPO matters' education page = premium-pricing positioning + 2-3x more booked jobs from quality-conscious homeowners.",7.0,pool
,,Shark Reef Pool Service,(702) 682-8103,,,4.5,18,,unknown,North Las Vegas,"Angle: ** ""'Shark Reef Pool Service' is a name homeowners remember — and yet 6 photos on Yelp and no website means they forget by tomorrow. 21-day fix: branded site with shark-themed visuals + 30-photo gallery from existing customer pools + GMB for NLV 89031/89084/89086 = stop losing remembered prospects to faceless competitors.",7.0,pool
,,Seahorse Pool Service,(702) 350-8054,,,4.6,20,,unknown,North Las Vegas,"Angle: ** ""6am-8pm operating hours is a serious differentiator — most pool services do 8-5 — and zero website means homeowners googling 'pool service early morning Las Vegas' never find you. 21-day fix: site leading with extended-hours promise + early-bird scheduling page + GMB highlighting 6am availability = lock in the homeowners who need pre-work service.",7.0,pool
,,Pool Whisperer,(702) 558-0855,,,4.0,10,,unknown,Henderson,"Angle: ** ""'Pool Whisperer' is the kind of name that sticks in a homeowner's head — but Yahoo Local shows only 10 reviews at 4.0★, which is the kind of profile that turns prospects away. 30-day fix: poolwhisperer.com domain + automated post-service review-request SMS (5-10 new reviews/month) + brand story page on outer Henderson = rating climbs to 4.5+ in 90 days, then the brand finally works for you.",7.0,pool
,,Freeman's Pool Service & Repair,(702) 296-2501,,,4.6,24,43,unknown,Boulder City,"Angle: ** ""43 years in Boulder City is a story that should be the first thing every visitor reads — and you don't have a website to tell it. Every homeowner Googling 'pool service Boulder City' finds a competitor with 3 years of experience and a Squarespace site instead. 30-day fix: freemanspoolservice.com domain + 'Since [1982/83]' hero + 4-decade story page = lock in premium pricing and own the BC search results.",7.5,pool
,,Vista Pools LLC,(702) 675-8161,hello@vistapools.net,vistapools.net,4.4,21,,unknown,Las Vegas,"Angle: ** ""You're already collecting SMS opt-ins (saw your SMS policy page) — meaning you have a list of customer numbers and zero automation hitting them. .net domain is also costing you trust signals vs .com competitors. 30-day fix: switch to vistapoolslv.com + SMS review-request automation on your existing list = 8-15 new Google reviews/month from customers you already have = rank jumps in 60 days.",7.0,pool
,,Echo Pool Service,(702) 907-6651,,echopoolservice.com,5.0,22,,unknown,Mesquite,"Angle: ** ""Wix template + page title that says 'Home | Echo Pool Service' = no homeowner Googling 'pool service Mesquite' finds you on page 1. Plus you're hiring full-time techs (saw the Mesquite Jobs FB post) — agency support compounds that growth fast. 21-day fix: pool-specific landing page with Mesquite + Bunkerville + Beaver Dam AZ service-area pages + branded H1 = top 3 Mesquite ranking inside 90 days.",7.0,pool
,,Pristine Pool Service,(702) 758-6256,,,4.5,17,,unknown,North Las Vegas,"Angle: ** ""'Pristine Pool Service' is what 5 other Vegas pool companies named themselves — homeowners can't tell you apart from the noise. 30-day fix: founder-story rebrand + Aliante/Lone Mountain service-area pages + 30 customer photos = stop competing on a generic name and own the NLV 89031 search results.",6.5,pool
,,Polynesian Pools,(435) 817-7777,,polynesianpools.net,4.4,18,,unknown,Boulder City,"Angle: ** ""Fiberglass + ecoFINISH coating is a niche almost no Vegas pool service touches — and homeowners with fiberglass pools (huge in Boulder City) are stuck calling general pool services who don't know the material. 30-day fix: 'fiberglass pool repair Las Vegas Valley' SEO landing page + ecoFINISH dealer authority badge + before/after gallery = own a niche on Google in 60 days where there's literally zero competition in NV.",6.5,pool
,,True Blue Pools,(702) 600-6508,,,4.5,15,,unknown,Pahrump,"Angle: ** ""702 area code + Pahrump base = you're already positioning to serve BOTH markets, which is unusual. Your FB-only presence means no homeowner Googling pool service in either market finds you. 30-day fix: trueBluePools.com + dual service-area pages (Pahrump + LV outer Summerlin) + GMB for both markets = open up a second city overnight.",6.5,pool
,,Bighorn Pools,(725) 295-1485,,,4.5,16,,unknown,Boulder City,"Angle: ** ""725 area code is the newest Vegas-area prefix — homeowners associate 702 with 'established'. 14-day fix: site lead with the Boulder City local roots story + 'Bighorn' wildlife branding (it ties to the desert locals know) + display 725 number alongside the explanation = neutralize the 'new number' trust hit.",6.5,pool
,,Pool Service Pros,(702) 883-0914,,,4.5,18,,unknown,Henderson,"Angle: ** ""Sun City Anthem retirees = highest LTV pool customers in Henderson. Yet 'Pool Service Pros' is a name 8 other Vegas operators use. 30-day fix: niche-down to 'Sun City Pool Specialists' brand + 55+ community service page + GMB for 89052 = own Sun City Anthem and Sun City Macdonald Ranch search.",6.0,pool
,,Lake Las Vegas Pools LLC,(702) 250-7082,,,4.4,17,,unknown,Henderson,"Angle: ** ""Lake Las Vegas is THE premium pool community in Henderson — and 'Lake Las Vegas Pools' is the perfect-match brand for that search. But no website means competitors with weaker brands rank above you. 21-day fix: 5-page LLV-focused site + premium positioning ($200+/mo service tier) + Lake Las Vegas / SouthShore / MonteLago neighborhood pages = top 3 ranking for Lake Las Vegas pool searches inside 60 days.",6.0,pool
,,Complete Pool Servicing,(702) 810-1798,,completepoolservicing.com,4.4,22,32,unknown,Henderson,"Angle: ** ""Your name 'Complete Pool Servicing' is the exact match for a high-volume search — but unbranded copy means homeowners forget you the second they click off. 30-day fix: hero refresh with founder story + branded service packages (Bronze/Silver/Gold) + Henderson neighborhood pages = +40% lead-to-customer conversion.""",6.0,pool
