First Name,Last Name,Business Name,Email,Phone,Address,City,State,Postal Code,Tags,Notes
,,MD Pool Service,,(435) 619-4395,,Cedar City,UT,,"utah-pool-2026-06,batch-ut-1,icp-6.0,probe-first","Score 6.0/10. Utah pool, probe-first. Lead-with C + B. Full angle in research CSV. [OWNER UNKNOWN - generic line]"
,,Aqua Pool & Spa,,(385) 416-7706,,Centerville,UT,,"utah-pool-2026-06,batch-ut-1,icp-5.5,probe-first","Score 5.5/10. Utah pool, probe-first. Lead-with C + D. Full angle in research CSV. [OWNER UNKNOWN - generic line]"
,,Advance Pool & Spa Repair,,(435) 512-7836,,Logan,UT,,"utah-pool-2026-06,batch-ut-1,icp-5.5,probe-first","Score 5.5/10. Utah pool, probe-first. Lead-with C + A. Full angle in research CSV. [OWNER UNKNOWN - generic line]"
,,Taylored Pool Service,,(435) 890-9059,,Logan,UT,,"utah-pool-2026-06,batch-ut-1,icp-5.5,probe-first","Score 5.5/10. Utah pool, probe-first. Lead-with C + D. Full angle in research CSV. [OWNER UNKNOWN - generic line]"
,,5 Star Pool Cleaning,,(801) 609-5555,,Salt Lake City,UT,,"utah-pool-2026-06,batch-ut-1,icp-5.5,probe-first","Score 5.5/10. Utah pool, probe-first. Lead-with C + D. Full angle in research CSV. [OWNER UNKNOWN - generic line]"
Michael,Burrup,SLC Pool Service,,(801) 808-1581,,Murray,UT,,"utah-pool-2026-06,batch-ut-1,icp-5.5,probe-first","Score 5.5/10. Utah pool, probe-first. Lead-with E + F. Full angle in research CSV."
,,Heatwave Pools and Spas,,(435) 421-9670,,Washington,UT,,"utah-pool-2026-06,batch-ut-1,icp-5.5,probe-first","Score 5.5/10. Utah pool, probe-first. Lead-with E + C. Full angle in research CSV. [OWNER UNKNOWN - generic line]"
,,Splash Pool Services,,(801) 304-7946,,Salt Lake City,UT,,"utah-pool-2026-06,batch-ut-1,icp-5.5,probe-first","Score 5.5/10. Utah pool, probe-first. Lead-with C + B. Full angle in research CSV. [OWNER UNKNOWN - generic line]"
,,Makai Services,,(435) 559-8479,,Cedar City,UT,,"utah-pool-2026-06,batch-ut-1,icp-5.0,filler","Score 5.0/10. Utah pool, filler. Lead-with C + D. Full angle in research CSV. [OWNER UNKNOWN - generic line]"
,,Rauscher's Pool Care,,(619) 254-3519,,St. George,UT,,"utah-pool-2026-06,batch-ut-1,icp-5.0,filler","Score 5.0/10. Utah pool, filler. Lead-with D + C. Full angle in research CSV. [OWNER UNKNOWN - generic line]"
,,Blue Horizons Pools & Spa,,(435) 669-2761,,St. George,UT,,"utah-pool-2026-06,batch-ut-1,icp-5.0,filler","Score 5.0/10. Utah pool, filler. Lead-with C + D. Full angle in research CSV. [OWNER UNKNOWN - generic line]"
,,APCT,,(801) 833-8986,,Salt Lake City,UT,,"utah-pool-2026-06,batch-ut-1,icp-5.0,filler","Score 5.0/10. Utah pool, filler. Lead-with E + C. Full angle in research CSV. [OWNER UNKNOWN - generic line]"
,,Deep Blue,,(801) 266-7665,,Murray,UT,,"utah-pool-2026-06,batch-ut-1,icp-5.0,filler","Score 5.0/10. Utah pool, filler. Lead-with C + F. Full angle in research CSV. [OWNER UNKNOWN - generic line]"
