first_name,last_name,company_name,phone,email,website,google_rating,review_count,years_in_business,employee_count_estimate,city,outreach_angle,score,niche
,,Aqua Pool & Spa,+13854167706,,aquapoolandspas.com,,,,1-2,Centerville,"Aqua Pool & Spa does the full weekly-plus-repair job in Davis County and customers call your pricing the most reasonable around — that's a real edge. But the site is thin and reviews are light, so that value story isn't reaching new people. 30-day fix: a review push + a pricing/packages page that makes the value obvious = let the affordability that already wins referrals win searches too.",5.5,pool
,,Advance Pool & Spa Repair,+14355127836,,(BBB),,,,1-2,Logan,"Advance handles pool and spa repair up in Cache Valley — repair is high-intent work and Logan barely has a pool-service scene, so the lane is wide open. But there's no real web presence, so when a Logan homeowner's pump dies they can't find you. 30-day fix: a simple repair site that ranks for 'pool repair Logan' + call capture = own the emergency searches in a valley nobody else is fighting for.",5.5,pool
,,Taylored Pool Service,+14358909059,,tayloredpoolservice.com,,,,1-2,Logan,"Taylored is one of the only dedicated pool services in Cache Valley and you've got a site up — ahead of the curve for Logan. But it's thin and review-light, so even with little competition you're not capturing the searches that do happen. 30-day fix: build out the site for local SEO + start collecting reviews = lock down the Cache Valley pool search before anyone else bothers to.",5.5,pool
,,5 Star Pool Cleaning,+18016095555,,5starpoolcleaning.com,,,,1-2,Salt Lake City,"5 Star covers a big footprint — Salt Lake, Pleasant Grove, Draper, Riverton, Eagle Mountain — so the demand is clearly there. But the site is bare-bones and reviews are scattered, so you're spread wide and thin instead of ranking strong in any one of those cities. 30-day fix: city-specific landing pages + a review system = stop being a faint signal across five markets and start owning the ones that matter most.",5.5,pool
Michael,Burrup,SLC Pool Service,+18018081581,,slcpoolservice.com,4.7,45,,1-3,Murray,"Michael, you're actually ahead — a clean modern site, 4.7 across 45 reviews, family-owned reputation in Murray. This isn't a rescue, it's a scale play. The gap is that you're not running ads or capturing the off-season, so growth is capped at referral pace. 30-day fix: a Google Ads funnel for 'pool service Salt Lake' + an off-season retention offer = turn a good local business into the dominant one before a franchise out-spends you.",5.5,pool
,,Heatwave Pools and Spas,+14354219670,,heatwavepool.com,4.7,,,1-2,Washington,"Heatwave's at a clean 4.7 with a working site covering Washington/St. George — you're doing fine, which is exactly why this is a growth conversation, not a fix. The opening is the recurring-plan and off-season revenue you're not maximizing. 30-day fix: a recurring-service pricing page + an ad funnel for the busy season = convert one-time calls into the contract book that actually builds the business's value.",5.5,pool
,,Splash Pool Services,+18013047946,,splashutah.com,,,,1-3,Salt Lake City,"Splash works the private + community/HOA pools around the Salt Lake Valley — community contracts are sticky, recurring, high-value accounts. But the site doesn't sell the commercial/HOA angle and there's no review proof, so you're not capturing the property managers searching for exactly that. 30-day fix: an HOA/commercial landing page + a few case-study reviews = get in front of the property managers who sign annual contracts.",5.5,pool
,,Makai Services,+14355598479,,makaiservices.com,,,,1-1,Cedar City,"Makai covers a huge rural stretch — Cedar City to St. George, Brian Head, Duck Creek — doing hot tub and pool repair where almost nobody else operates. That reach is the asset. But the site is thin and review-light, so the wide service area isn't translating into found-online jobs. 30-day fix: a site built around the towns you cover + reviews = own the searches in a region with basically zero competition.",5.0,pool
,,Rauscher's Pool Care,+16192543519,,rpoolcare.com,5.0,,,1-1,St. George,"Rauscher's runs clean — a 5.0 reputation and a real site in St. George. But the reviews are thin and you're listing a California cell as the contact, which quietly reads 'not really local' to a St. George homeowner. 21-day fix: a local 435 number on every page + a review push to thicken the 5.0 = remove the small trust gaps that are costing you the careful buyers.",5.0,pool
,,Blue Horizons Pools & Spa,+14356692761,,bluehorizonspools.com,,,,1-2,St. George,"Blue Horizons offers family-owned weekly service in St. George starting around $75/month — a sharp, simple offer people respond to. But the web presence is scattered across a couple listings and the booking path isn't clear, so the offer isn't landing where people search. 30-day fix: consolidate to one site + one number + a Google profile with reviews = make the $75 weekly offer easy to find and book.",5.0,pool
,,APCT,+18018338986,,(Swimply),,54,,1-3,Salt Lake City,"APCT already has traction — 54 reviews is more than almost any indie in the valley, so the service clearly delivers. The gap is conversion: you're earning the trust but not running a funnel to turn that reputation into booked growth. 30-day fix: a proper website that showcases the 54 reviews + an ad/lead funnel = stop letting a great reputation sit idle and start compounding it into new accounts.",5.0,pool
,,Deep Blue,+18012667665,,swimdeepblue.com,,,,1-3,Murray,"Deep Blue covers Salt Lake with a full pool/spa menu and a real site — established footing. But it's a crowded Salt Lake market and the site isn't ranking or differentiating, so you blend into a dozen similar shops. 30-day fix: a sharper positioning + local SEO + review system = pick a lane (speed, repair, premium) and own it instead of competing on sameness.",5.0,pool
